actor,text
Walter,"Excuse me. Skyler White? Skyler, I'm so sorry. I'm just...are you okay?"
Skyler,Meet your daughter.
Walter,"Hi, there, girl. Hi, there, Holly."
Ted,"Congratulations, Walt."
Walter,"I'm sorry, I didn't see you here."
Skyler,"Ted drove me here. Thank God. I mean, this little bundle of joy of ours was practically on rails. Halfway here I thought he was gonna have to pull over and deliver her himself."
Walter,"Then, I'm glad it didn't come to that."
Ted,"No problem at all. Well, let me get out of your way here so you two can, you three, can be alone, okay? Listen, take it easy, Sky."
Skyler,"I really, I can't begin to thank you."
Ted,Don't think anything of it. It's my pleasure. Congratulations again. She's beautiful. I'll talk to you soon. Take care.
Walter,Are you okay? Is everything okay?
Skyler,Everything's okay. I just wish you'd been here.
Walter,Where's everyone else?
Skyler,Downstairs. Hank and Marie took Junior for dinner. He has been such a trooper. He even changed his first diaper.
Walter,"Did he? Honey, is there anything that I can do for you? Anything at all?"
Skyler,"Actually, yes. I left my overnight bag at home this morning. I think you get it in your head, ""C-section."" You know? But I'm just so glad the way it all worked out. Doing it natural instead. It just couldn't have gone any better."
Walter,"Good. Let me go get your things. And I'll get my stuff, too, okay? I'll spend the night."
Jane,"Dad. I was in the shower. I overslept. I'm running late, but I'll be there. Baby, I gotta go. Somebody broke in."
Jesse,"Okay. No! Come on. Damn. Oh, God. Oh, Christ."
Guy,This week was tough. Toughest yet. You know why? I knew this day was coming. My birthday.
Counselor,Your re-birthday?
Guy,"Yeah, and as it got closer, it got worse. I was scared shitless I wouldn't make it. I really didn't think I would. Called in sick three days in a row. I know my boss was pissed. I guess I don't really care. I just didn't want to see anybody. You guys know how that is. All it'd take is one friend and I'd be out rippin' and runnin' again. But I made it. I really made it. I got one year clean to the day."
Donald,You look tired. Your eyes are kind of red. You getting enough sleep?
Jane,"Actually, no. I'm working on this really complex new tat. A guy wants his whole back done up. Him on his chopper, flames all around. I keep showing him the design and he keeps asking for changes, like, ""Give me more muscles. Give me more flames."" And I'm like, ""A, this ain't the Sistine Chapel. And B, I have enough trouble working around your zits."""
Donald,I really wish you wouldn't work at that place. You need to avoid those types of...
Jane,"I know and I do. It's mostly college kids and airmen from Kirtland. It's actually really corporate. So, how's your job?"
Donald,"Oh, you know. Same old, same old. Doing backup training on my days off. God, they're hiring anybody now. No experience at all. It's scary. You seeing anyone?"
Jane,No. You?
Donald,What about that guy next door?
Jane,What do you mean?
Donald,"Well, he seemed to have some expectation of you introducing me to him."
Jane,"He knows you own the place. Dad, he's our tenant. End of story. Why would I get involved with a tenant?"
Marie,Isn't she beautiful? I just think she's the most beautiful baby ever. And why not? Good stock.
Walter Jr,I'll get it. Nobody's there.
Walter,Beat ya! Hello?
Jesse,"Yo, it’s me."
Walter,"Oh, hi, Carmen. Just Carmen."
Jesse,Come on. Hurry up.
Walter,"So you heard? Good news. She's just so beautiful. Well, Holly. 7 pounds, 3 ounces. Everybody is doing just fine. You junkie imbecile! What are you calling this number for?"
Jesse,"I am trying to tell you, man. Last night, somebody broke in my place, yo. I got robbed."
Walter,What?
Jesse,"Somebody, they got all of our stuff. All of it. You get me, Mr. White? The blue stuff. It's, like, uncanny. They knew exactly where to look! I mean, say something, man! Yell at me or something! Come on! God!"
Marie,"Hank, come on! People are starving to death out here!"
Hank,"All right, all right. Had to get a beer. All right, guys. Here we go. We got mild, medium and muy caliente. I got dibs on the breast."
Walter,Los Pollos Hermanos?
Hank,"Yeah, seriously. You gotta try it. This joint gives KFC a run for their money."
Marie,That baby's hungry.
Skyler,"Give me that baby. Aw, sweetie. Come on."
Marie,"Hank, it's only a breast."
Hank,It's my sister-in-law's breast.
Marie,You are so provincial.
Skyler,Remember the day when you were talking to me about child-proofing? What are you thinking? A fence or a cover?
Walter,"Actually, I was thinking more of an alarm system. They've got these new systems out there, ""sonar systems"" that would do anything that falls into it, it sets the alarm off."
Skyler,"That sounds expensive. Well, yeah, but for the baby, I mean..."
Hank,Why don't you let Marie and I get that for you guys?
Marie,Absolutely.
Skyler,"No, please. I'll be back at work soon. We'll take care of it."
Walter,Back at work soon?
Skyler,"Since you're scheduled for surgery, I just thought it might be a good idea to have some money coming in."
Walter,"Skyler, we need to think about what's best for the baby. And I think having her mother around for at least the first few years. Money-wise, we'll manage. I promise you that."
Hank,What? You guys got a printing press in the garage churning out 50s?
Walter Jr,I wish. Mom's even talking about me getting a job.
Skyler,That's right. Everybody pitches in.
Walter,"I'll get her. I'll get her. Good girl. That's a good girl. My little girl, huh? Do you want to see something? Come here. Oh. I know, I know. You want to see what your daddy did for you?"
Walter,Let me show you. Here. Come here. Want to see? That's right. Daddy did that. Daddy did that for you.
Jesse,This place looks exactly the same. Why don't you have computers and shit? It's the 20th century.
Walter,What the hell are you doing here?
Jesse,You took the stash! I heard all those phone messages and I figured it out.
Walter,"You figured it out? Congratulations, Einstein."
Jesse,"You left me to freak out all day long, like I dropped the ball! And you were the one who took it!"
Walter,"Shut up. You lower your voice. ""Like"" you dropped the ball? When have you ever not dropped the ball, Jesse? Blasted out of your mind on whatever the hell that was. What was that? hero1n? Jesus."
Jesse,"I was on my day off, man. What I do on my day off..."
Walter,"Your day off? We were on-call, you junkie. On-call for the biggest deal of our lives. And I just managed to pull it off by the skin of my teeth, no thanks to you. You made me miss the birth of my daughter. Son of a bitch."
Jesse,How much?
Walter,How much what?
Jesse,"How much did you get for the deal?
Walter  $1.2 million."
Jesse,"600,000 each?"
Walter,"480,000. Saul's cut is 20%."
Jesse,"So, where's my money? What?"
Walter,"You are joking, right? If I gave you that money, you would be dead inside of a week."
Jesse,"Look, I'm off the hero1n. I didn't even like it anyway. It made me sick. And the meth. You know, I can take it or leave it. I'm clean, Mr. White. For real."
Walter,Prove it. Pee in that.
Jesse,How gay are you? Seriously.
Walter,"Pee in it. They're selling testing kits at the drug stores. If you are clean, I will give you every last dime. No, huh? Well, I guess, until then, you'll just have to depend on the kindness of strangers to get high. That and your little junkie girlfriend."
Marie,"Not on her tummy, Walt."
Walter,"I'm not putting her on her tummy. I'll put her on her side. Do you want to hold her back? Just in case she decides to do a little spit-up, I'll roll up a nice clean towel like this and put it under."
Marie,Hammacher Schlemmer makes a proper one of those. It's hypo-allergenic.
Walter,I think a towel will do. What is it?
Skyler,Your son. He's just unbelievable. Come see what he did.
Walter Jr,I told you it's not ready yet.
Skyler,"Honey, just show it to them."
Walter,"My God, son. That's wonderful."
Marie,"This is beautiful. SaveWalterWhite.com. Well, I, for one, am telling everybody."
Walter,"Wait a minute. You're not asking for money, are you, son?"
Walter Jr,That's the whole idea. Louis helped me set up a PayPal account and everything.
Walter,"But we can't ask for money. I appreciate it. I really do.
Skyler  This was all his idea. He worked so hard on it. Just let him help. You can't ask him to take it down. It'll crush him."
Walter,"Skyler, it's charity."
Skyler,Why do you say that like it's some sort of dirty word?
Walter,"This is insane. I have so much cash on-hand that I actually count it by weighing it on my bathroom scale. And yet, I can't spend it. I can't tell my family about it. All of whom think that I am right on the edge of bankruptcy. It's insane."
Saul,"Well, I guess that's why gangsters had molls."
Walter,What?
Saul,g*n molls. Haven't you ever seen White Heat?
Walter,"I've seen White Heat, but I don't see how that pertains."
Saul,Maybe you need a moll more than you need a wife who you can't trust with your secrets. What good is money that doesn't spend? If a tree falls in the forest...You get the point. So communicating is out?
Walter,Out.
Saul,"Well, let's see. What else is there? There's always, ""Hey, I found a big bag of money down by the railroad tracks."" Works for me. Uncle Murray. ""Oh, many is the happy memory of Uncle Murray bouncing me on his knee. We lost track of the old pervert years ago, but what do you know? He kicked it and left me millions."""
Walter,"It cannot be blind luck or some imaginary relative who saves us. I earned that money, me. And now my son created his own website ""SaveWalterWhite. com"" soliciting anonymous donations. Do you have any idea how that makes me feel?"
Saul,"Yeah, look at that. It's got PayPal and everything."
Walter,"Cyber-begging. That's all that is. Just rattling a little tin cup to the entire world. Yeah, there's no deep-seated issues there."
Saul,I'm looking at the answer here. It's staring me in the face. Do I have to spell it out for you?
Walter,"No, I know. You're thinking that I should be funneling my money into my son's website, but absolutely not, no. I am not going to have my family think that some mystery benefactor saved us."
Saul,"Not some mystery benefactor, singular. That would raise too many questions. However stay with me here  Zombies. I got a guy who knows this guy who knows this Rain Man-type. He lives with his mother in her basement in Belarus. So good luck extraditing his fat Russian ass. Wait. He's a hacker-cracker extraordinaire. This guy can hijack random desktops all around the world, turn 'em into zombies that do his bidding. For instance, he can make it so, 20 or 30,000 little donations come in from all over the U.S. and Canada. all paid in-full, nice and neat, untraceable, from the good-hearted people of the world to Mr. Walter H. White, Cancer Saint. I'm getting a warm and fuzzy feeling just thinking about it."
Jesse,"He's an assh*le, that's what. Always judging me."
Jane,Not too much.
Jesse,"I mean, like, who's he, right? I mean, first off, I taught him. He's always acting like I'm his indentured servant."
Jane,Now the cotton.
Jesse,Needle?
Jane,I don't understand why you need him.
Jesse,Exactly. My point exactly.
Jane,"Flat against your skin so it doesn't wiggle around too much. How much does he owe you, anyway?"
Jesse,480.
Jane,"Well, hell, I'd be mad, too, if somebody owed me 500 bucks."
Jesse,"No. 480,000."
Jane,What? What?
Jesse,Thousand.
Jane,"Not on your back, baby. In case you throw up. On your side. Sleep on your side."
Guy,"She's all like, ""Don't preach to me."" And I'm like, ""Baby, I'm not preaching to you. I'm talking about basic survival, you know? I'm conversing about life and death."" I mean, this here, what we've been doing. Hell, Becky knows."
Jane,"Dad? I overslept. I'm on my way. Dad? Dad, wait. It's not what it looks like. Dad, just wait. Let me talk to you for one second. Come on! Stop it! Don't touch him, Dad!"
Donald,Son of a bitch.
Jane,"Dad, let him go!"
Jesse,"Get away from me, man. Back off. Back off!"
Jane,Everybody just calm down!
Jesse,"What's with you, yo? Huh? 'Cause I'll seriously bust you up."
Donald,You miserable little smackhead. Get the hell out!
Jesse,"Hey, I pay my rent, bitch! I got civil rights!"
Jane,"Jesse, come on. Please, no. Come on."
Jesse,I pay my rent.
Donald,You're going back to rehab. Today. Now.
Jane,"Look, as it so happens, we were just, we were just talking about that and I was gonna tell you, okay? If you would just let me."
Donald,"You have been clean for 18 months, Jane. Why? Why do you do it?"
Jane,"I backslid, okay? Like, what? What, you think I'm proud of this? Like, I do it on purpose?"
Donald,"Lying to me, shacking up and using with this scumbag, this loser!"
Jesse,It takes one to know one!
Jane,"His name is Jesse, and you don't know the first thing about him. We talk about rehab every night. It's his idea."
Donald,"You talk about rehab? Well, gee, isn't that wonderful?"
Jane,"Thank you for not being judgmental 'Cause that's exactly what I need, to be judged all the time!"
Donald,You know what you need? I'll tell you exactly.
Jane,What are you doing? What are you doing?
Donald,I am calling the police.
Jesse,Come on!
Jane,"Dad, don't."
Donald,I have tried ten years of love and understanding. Maybe what it takes is you drying out in a jail cell. I would like to report drug use in a building that I own. No. It's on-going.
Jane,Daddy.
Donald,"It's illegal activity. I'd like to talk to somebody. Would you connect me, please?"
Jane,"Fine, we'll go to rehab."
Donald,I could care less about him going to rehab. I want you in rehab.
Jane,Okay. I'll go first thing tomorrow.
Donald,Not tomorrow. Today.
Jane,"I have to call into work. I have to stock the newspaper. The last time I went to rehab, all my houseplants died because you didn't water them, so. Please? I'll go. Tomorrow."
Donald,I'm sorry. I made a mistake. Tomorrow.
Jesse,You meant all that?
Jane,"I don't know. I just think if we had enough money, nobody could make us do anything."
Walter,Just let it ring.
Skyler,"No, I'm gonna go see who it is."
Walter,"It's okay, Holly."
Skyler,"Good luck with that. But I'm sure he'd be glad to write some...actually, here he is right now. So hold on a second."
Walter,What?
Skyler,It's one of your one of your old students. He wants a letter of recommendation.
Walter,"Honey, I think the baby is getting hungry. This is Walter White. I'm sorry. I'm having a little trouble recalling."
Jane,"It's Jane. You know, of Jesse and Jane. Jesse's ""junkie girlfriend."""
Walter,"Oh, of course. It really has been a long time."
Jane,Jesus. Get somewhere you can talk.
Walter,Sure. Yes. I am looking into that as we speak. How the hell did you get this number? Did Jesse give it to you?
Jane,"All Jesse wants is what's coming to him. No more, no less."
Walter,What are you talking about? He told you about the money.
Jane,He told me everything.
Walter,"So, what is this? Some kind of blackmail or something?"
Jane,"This is me telling you to do right by Jesse and bring him what you owe him. I don't call that blackmail. I call that getting off your ass, and being a decent human being."
Walter,"Well, I call it blackmail. Dialing my number. Talking to my wife. And what's your end of this? How much hero1n does a half a million dollars buy? For your information, I am holding Jesse's money for him, he will receive every last dollar of it. He will. Not you. At a time when I see fit. But I will not contribute to his overdose. Now, you tell him, if he gets clean, ff you both get clean…"
Jane,"You know what? I take that back. This is blackmail. Because what I know about you; High school teacher turned drug dealer with a brother-in-law in the DEA. That'd make one hell of a story. National news, I'll bet. Do right by Jesse tonight or I will burn you to the ground."
Walter,Shit.
Jane,He's a high school teacher. What's he gonna do? Give you a B-minus? Send you outside to clap the erasers?
Jesse,"You wouldn't really go to the cops, would you?"
Jane,We won't have to. He'll pay.
Jesse,What if he doesn't?
Jane,"Jesse, it's your money. You're in the right here. He's in the wrong. He's not stupid. He'll pay. What is it, really? You don't want your half a million dollars? You wanna renounce your earthly possessions and become a monk?"
Jesse,"It's just, I'm not the kind of dude who rolls. And by extension, neither are you. I mean, he's my partner."
Jane,I'm your partner.
Skyler,"Close your eyes and go to sleep. Hush little baby don’t you cry. Mama’s gonna buy you a mockingbird. If that mockingbird won't sing Mama's gonna buy you a diamond ring. If that diamond ring turns brass Mama's gonna buy you a looking glass. So hush, little baby Don't you cry Daddy loves you and so do I. She's finally asleep. What are you doing? Learning about elephants? Honey, we're out of diapers. Would you mind going out?"
Walter,Jesse. Not you. Nice job wearing the pants. How do I know she'll keep quiet?
Jane,I guess you don't.
Jesse,You'll never hear from either of us again.
Walter,"You're not seeing straight, Jesse. You are making a mistake."
Jane,Do you know what this is?
Jesse,It's a whole lot of cheddar.
Jane,"This is freedom. This is saying, ""I can go anywhere I want. I can be anybody."" Who do you want to be? Where do you want to go? South America? Europe? Australia?"
Jesse,Is New Zealand part of Australia?
Jane,New Zealand is New Zealand.
Jesse,"Right on. New Zealand. That's where they made Lord of the Rings. I say we just move there, yo. I mean, you can do your art. Right? Like, you can paint the local castles and shit. And I can be a bush pilot."
Jane,"New Zealand. I can get behind that. But I guess I'm good anywhere as long as it's the two of us. But first we gotta get clean. And not because anybody's telling us to. We do this for us, right?"
Jesse,Absolutely. For us.
Jane,"All this here, we're not gonna just sh**t this up our arms. We're not."
Jesse,"Hell, no. We're better than that. We're way better than that."
Jane,I say we flush what we've got left and we start tonight.
Jesse,We can do that. Definitely.
Bartender,Excuse me. What can I get you?
Walter,"Give me a Fat Tire draft, please. Damn it. Hey, honey. No. I don't know what to tell you. Three stores I've been to so far, and not one of them have it in stock. Do they have to be diapers for newborns? What if we went up a size and just kind of...All right. No, I understand. All right. I'll just keep looking. I'm pulling into Wal-Mart now, so."
Donald,Well played. They found water on Mars.
Walter,They have indeed.
Donald,"Don't exactly know what to do with that information, but God bless 'em, they found it."
Walter,"Actually, they theoretically can separate the hydrogen from the oxygen and process that into providing fuel for man's space flights. Ostensibly turning Mars into a giant gas station. So, it's a...we live in an amazing time."
Donald,To water on Mars.
Walter,To water on Mars.
Donald,"So, what'd you have? Girl or boy?"
Walter,A little girl.
Donald,That's nice. Congratulations. I have a daughter.
Walter,How old?
Donald,Old enough to know better.
Walter,You have other kids?
Donald,Just the one.
Walter,"I've got a 16-year-old boy. Well, he's almost 16. There's a spread. But he helps out, though. He's even changing some diapers now, so, it's more than I managed to do when I was his age."
Donald,"Kids today grow up faster, I think."
Walter,"Maybe so. So, any advice? Having a daughter. Any advice?"
Donald,"Not really. Just love them. Just I mean, they are who they are."
Walter,"I've got this nephew. This nephew who is I mean, he's an adult. But you can't infantilize them, you can't live their life for them. But still, I mean, there is that frustration. God, that frustration that goes along with, ""Yes, as a matter of fact, I do know what is best for you, so listen."" But of course, they don't. What do you do with someone like that?"
Donald,Family.
Walter,Family.
Donald,"You can't give up on them. Never. I mean, what else is there?"
Walter,"Jesse, it's me! I just want to talk. Jesse? Wake up. Wake up. Oh no."
Jesse,Come on! Please. Come on! God.
Walter,"Hello? Slow down. Slow down. Just take a deep breath. Do it. All right. Now, what happened? Listen to me. Are you listening? Everything is going to be okay. I promise. Now, listen. Calm down. Just sit tight. I know who to call."
Mike,"Saul Goodman sent me. Come on. Inside. Watch the door. Where is she? Any other drugs in the house? Think hard. Your freedom depends on it. What about g*ns? You got any g*ns in the house? Here's your story. You woke up. You found her. That's all you know. Say it. Say it, please. I woke up. I found her. That's all I know. Say it."
Jesse,I woke up. I found her. That's all I know. I woke up. I found her. That's all I know.
Mike,Again.
Jesse,I woke up. I found her. That's all I know.
Mike,Again. Again.
Jesse,I woke up. I found her. That's all I know. I woke up. I found her. That's all I know.
Mike,"Once you call it in, the people who show up will be with the Office of Medical Investigations. That's primarily who you'll talk to. Police officers may arrive, they may not. Depends on how busy a morning they're having. Typically, OD’s are not a high-priority call. There's nothing here to incriminate you, so I'd be amazed if you got placed under arrest. However, if you do, you say nothing. You tell them you just want your lawyer. Then you call Saul Goodman. And do I need to state the obvious? I was not here. You put on a long-sleeved shirt and cover those track marks on your arm. Count down from 20, and then you dial. Hang tough. You're in the home stretch."
Walter,Do you want 2% or skim?
Skyler,Two.
Walter,Junior? Flynn?
Walter Jr,I'll be there in a minute.
Walter,You all right?
Skyler,"Flynn, get your butt in here."
Walter Jr,"My God. Mom, Dad, come here! You got to see this! Seriously."
Walter,What?
Walter Jr,Look right there. Look at that.
Skyler,Are those donations?
Walter Jr,Yes.
Skyler,Actual donations for your dad?
Walter Jr,"Total strangers gave us $490. Virginia, Minnesota, Montana. Look at this one. Vancouver. All the way up in Canada. And it's all real actual money. It's actually right there in the PayPal account. And look what they're saying. ""Hang in there, Walt."" ""Good luck."" ""Hang in there."" Isn't this awesome?"
Walter,That's that is something.
Skyler,"Don't you think a little ""thank you"" is in order?"
Walter,"Yes, absolutely. Thank you, son. Thank you. This is a big, big help."
Walter Jr,Ontario. Damn. $510.
Jane,"Hey. If you're trying to sell me something, I've got four little words for you ""Do-Not-Call-List."" However, if you're cool, leave it at the beep."
Donald,"How did I know you wouldn't be answering your phone? I'm on my way. I'm going to be there momentarily. I expect you on the porch, bag packed, ready to go. No excuses."
EMT,Sir? You may not want to be here for this.
Jesse,"I just woke up, and I found her. That's all I know."
EMT,What's her date of birth? Your daughter's date of birth.
Donald,"April 4, 1982."
EMT,And mother's maiden name and place of birth.
Donald,My mother?
EMT,Your daughter's mother.
Donald,Bishop.
EMT,And place of birth?
Donald,Phoenix.
EMT,"Phoenix, Arizona. This is our address. Do you have someone who can drive you?"
Donald,I can drive.
EMT,"Then, if you'd like to meet us there, we can complete the intake and take our samples, and then you can make your arrangements. Now, do you need a card? Will you both be coming?"
Skyler,"I don't believe it. Walt, you have to see this!"
Walter Jr,40 from Terre Haute.
Walter,"It's me. Are you there? I'm just checking in. Our friend says he thinks everything went well. And that's good. So listen. Just call me, all right?"
Skyler,You've got to come in here. We just broke a thousand dollars.
Walter,All right. I'm coming.
Hank,"Some of you already know my brother-in-law. He's a good man. The doctors say this operation has a real chance of helping him. Of course, they're also saying they want to be paid in private islands, so dig deep. Biggest donation gets a six-pack of my very own Schraderbrau. Home-brewed to silky perfection."
Steve,Smallest donation gets two six-packs.
Hank,"Other than Gomie here pees sitting down, here's what we know. Christian Ortega, aka ""Combo."" sh*t dead by an unknown assailant last month. ""Combo?"" I hear you say. ""Why, I'm unfamiliar with that name. Was he a Nobel laureate perchance?"" No. He was a dipshit, wannabe banger. Now, no arrests, save for stealing a Baby Jesus from a Knights of Columbus manger back when he was 17. This dude was so low-rep, he never showed up on our radar. So why am I talking about him? Anyone? Anyone? Bueller?"
Steve,He was dealing Blue Sky.
Hank,"That's right. How is it that the purest, most professional grade of meth we've ever come across is being slung by the likes of that? But wait. It gets better. Since Baby Jesus thief there slowed a b*llet with his neck, the blue stuff's vanished from town, okay? Not a speck to be found in Albuquerque. Now, why is that?"
Steve,Because maybe your Heisenberg's in prison.
Hank,So says APD. They think they got their man.
Steve,"I know you don't buy it, but maybe it's true."
Hank,"James Edward Kilkelly, yeah. APD thinks this is our mastermind. You believe that, I got a bridge to sell you, okay? He copped to it, didn't he?"
Steve,For an extra pudding cup every night at Los Lunas?
Hank,"Maybe if you give him a pack of cigarettes, he'll tell you what he did with Jimmy Hoffa. I've been thinking. Top-shelf product like this, it doesn't fall off the face of the earth. The way I see it, raw talent's bound to pop up somewhere. It's like Whack-A-Mole. So I've been making phone calls. Local police departments, small-town sheriffs. Haven't had much luck inside the land of enchantment. But outside, I've got reports of the blue stuff making a scene here in Texas, Arizona, Colorado, and Nevada. In fact, everywhere but here. Almost as if somebody wised up, stopped sh1tting where they eat. Now, I say Heisenberg's still out there. I say he's gone regional. Only he's still right here in town."
Skyler,"Come on, 2,800. Come on, big 28. You can do it. Only 30 more dollars."
Walter Jr,$40!
Skyler,Who's going to be next?
Walter,"Your guy found him? Where is he? Okay, listen. I don't care. You have your guy, just shut...Saul, shut up and give me the address."
Mike,"I don't recommend it. APD's been known to sit on this place, keep an eye on the comings and goings."
Walter,Are they here now?
Mike,"Well, I don't see any sign, but that's the point. Police could be the least of it. You could just get mugged or sh*t. How about you go on home, Walter? Let me handle this."
Walter,"Jesse! Look at me. Look at me, son. Wake up."
Jesse,"I ain't got nothing for you, man. It's all gone."
Walter,Wake up. It's me. It's Walt. Let's get out of here.
Jesse,"No, I'm good."
Walter,"Help me out, now. Listen. You are not good right here. You are not good at all. You hear? Put your arms around me. You're going to stand up, and we're going to walk out of here, okay? We're going to take you someplace nice and safe. That's it. Now let's go. Come on. Here we go."
Jesse,I k*lled her.
Walter,What?
Jesse,"I k*lled her. It was me. I k*lled her, man. I k*lled her."
Walter,Look at me. You didn't k*ll anybody.
Jesse,I loved her. I loved her more than anything.
Donald,"I haven't given much thought to the programs, to be honest. I guess they should be, I don't know. Just use your best judgment. There's no yellow dress here. It's all black and gray. When's the last time you saw her ever wearing a yellow dress? What about blue? Blue's better than black, right? Not dark blue. More like not super-bright, either. I mean, blue is blue. No cleavage. Long sleeves. It's nice. It's nice."
Walter,"Big yawn, Holly. I know what you feel like. I'm tired, too. There we go. Would you mind turning that thing down or off? The dinging. Just turn down the volume."
Walter Jr,"Dad, it's money."
Walter,Please do it. The noise is disturbing the baby.
Skyler,"Marie, slow down. I can't...oh, my God. You are kidding me. Sure. Of course. Any day after school. Wait. Let me tell him, and I'll call you right back. Guess what."
Walter Jr,What?
Skyler,You are going to be in the newspaper.
Walter Jr,No way.
Skyler,"One of Aunt Marie's patients works at the Journal. When she told him about the website and the donations, he went to his editor, and they're doing a story about you."
Walter Jr,For real?
Skyler,They're coming to interview you with a photo and everything.
Walter Jr,Awesome. It'll mean more hits.
Skyler,And more contributions.
Hank,"East of Scottsdale? Let me guess. Not talking. Nope. Not a one. Someone somewhere is running one tight ship. All right, Chief. Yeah. Thanks a lot. You, too."
Merkert,"Agent Schrader, can you spare a moment?"
Hank,"Yes, sir. Absolutely."
Merkert,"Gentlemen, this is supervising agent Hank Schrader. Agent Schrader, I'd like you to meet Andrew Coffman of the Adobe Hotel."
Hank,Nice to meet you.
Andrew,Nice to meet you.
Merkert,Paul Canterna of Canterna Real Estate.
Paul,It's a pleasure.
Hank,Good to meet you.
Merkert,And Gustavo Fring of Los Pollos Hermanos.
Gustavo,"Please, just Gus."
Hank,"Got to tell you, you guys make some k*ller chicken."
Gustavo,Thank you very much.
Merkert,"They are underwriting this year's fun run, and I thought I would give them a tour."
Hank,Absolutely. Get to see what you're supporting.
Merkert,We thank you gentlemen. Can you tell us a little about your work here?
Hank,"The Albuquerque office covers everything from drug-related money laundering to interdiction of illicit controlled substances crossing the border. Now, the group that I supervise focuses on methamphetamine, which is a growing problem in the country, unfortunately."
Gustavo,Terrible.
Merkert,It is indeed.
Hank,"Now, we've had some successes locally, but overall the supply seems to be growing. But I got to tell you, community outreach, like this fun run, one of the most powerful w*apons we have. Anything we can do."
Merkert,Gentlemen.
Gustavo,Is this one of your agents?
Hank,No. That's my brother-in-law. He's got a health issue.
Gustavo,I'm very sorry. What sort of health issue?
Hank,Lung cancer.
Gustavo,That's a rough one.
Hank,You don't have to do that.
Gustavo,Please. I'm happy to do it.
Hank,Thank you very much.
Gustavo,You're welcome.
Walter,"Just so you know, I won't be back for a while. I'm going to have my surgery on Friday. I'm hopeful it'll go well. But if not, Saul will take care of things. He's got your money. He's keeping it for you. Lingering on things doesn't help, believe me. Just try and focus on getting better, okay?"
Jesse,I deserve this.
Walter,What?
Jesse,What you said in the desert. I get it what you meant. I deserve whatever happens.
Marie,There he is! We're doing a feature on Walter Junior. We called you about 50 times.
Walter,I thought we were just talking about a newspaper story.
Marie,"I know. But I thought, if it's good enough for the Journal, then why not TV? So I went for it."
Reporter,This is him?
Marie,This is Dad.
Reporter,"Great. Let's get everyone on the couch. I'm thinking Walt Junior in the middle, Mom and Dad on either side. Mom and Dad? How much money have you raised so far?"
Walter Jr,"$6,360. But there's more coming in all the time."
Reporter,That's amazing.
Skyler,We don't even know what to say. It's been incredible.
Reporter,"Judging from the things you and other folks have written about him, your dad must be quite a guy."
Walter Jr,He is. He's the best.
Reporter,"You don't want to lose him, do you, Walter?"
Walter Jr,None of us do. We love him.
Reporter,"He's a good man, isn't he?"
Walter Jr,"Absolutely. Ask anyone. Anybody. He's a great father, a great teacher. He knows, like, everything there is to know about chemistry. He's patient with you, and he's always there for you. He's just decent, and he always does the right thing, that's how he teaches me to be."
Reporter,Would you say he's your hero?
Walter Jr,"Yes, ma'am. Totally. My dad is my hero."
Walter Jr,Does that put him to sleep?
Nurse,This one just relaxes him a little. We're almost ready. We'll be taking you in in just a minute.
Walter,Here we are.
Walter Jr,Relaxed yet?
Walter,"As a matter of fact I don't know what this stuff is, but it's pretty great."
Skyler,"Yeah, it looks like it. We'll be here when you wake up."
Walter,I'll be looking for you.
Skyler,They'll probably want me to take your glasses.
Walter,"Yeah, you better."
Skyler,Where's your phone?
Walter,Huh?
Skyler,Your cellphone. Did you bring it?
Walter,Which one?
Walter Jr,"I'm pretty sure he didn't bring it, Mom."
Skyler,Okay.
Dr. Delcavoli,First things first. How old is the baby now? And when do I finally get to meet her?
Skyler,"I was actually thinking of bringing her today, but."
Walter,"She's seven weeks tomorrow. Seven, right?"
Skyler,"I have a picture here, somewhere."
Dr. Delcavoli,"She's beautiful. Always a relief to say that and actually mean it. How's your pain level, Walter?"
Walter,"Very low, basically."
Dr. Delcavoli,Shortness of breath?
Walter,"A bit, but much better."
Dr. Delcavoli,"Good. Your margins look good. Obviously, I can't foresee the future, but even conservatively speaking, I can say that you bought yourself some real time here. There's no reason not to be optimistic."
Walter,That's great.
Skyler,"That is great. So, when could he get back to his normal routine?"
Dr. Delcavoli,He can ease into it now. And can he go back to work or I'd give it a few more weeks. Make sure you avoid any heavy lifting and continue to get plenty of rest.
Skyler,"But he can be on his own? Just more, independent."
Dr. Delcavoli,Use your best judgment.
Walter,"That's good news for you, honey? One less baby in the house."
Coworker,Donald. Welcome back.
Donald,Thanks. It's good to be back.
Coworker,"Jesus. We were all so sorry to hear. Terrible thing. Just, but you know, we've all been thinking about you, and...you've been doing okay?"
Donald,"I'm doing okay. After a certain point, time off doesn't help, so I figured I'd rather be here, focus on work."
Coworker,Sure. Absolutely. See you inside.
Donald,"Truth Or Consequences altimeter, Pima 311, contact Albuquerque Center 134. 6. Juliet 5 Bravo, ident say altitude. Juliet 5 Bravo, roger. Cleared direct to Winslow."
Walter,"I think I may just keep this. What do you think? Doesn't look so bad, right? What are you doing?"
Skyler,I'm going to Hank and Marie's for the weekend.
Walter,Since when?
Skyler,I'm taking the baby with me. Marie will pick up Walter Junior from school. You'll have the house to yourself for two days. I want you to pack your things and leave.
Walter,Why would I do that?
